MaleID	SID	Pheno	Population	Pop1_region	Cw_pheno	Fw_pheno	Sw_pheno
M146	87-M146	wtFw	Hilo.CL	Hilo.CL	1	2	1
M137	78-M137	CwNw	Hilo.CL	Hilo.CL	2	1	1
M132	73-M132	CwNw	Hilo.CL	Hilo.CL	2	1	1
M3	3-M3	wtNw	Hilo.CL	Hilo.CL	1	1	1
M133	74-M133	CwNw	Hilo.CL	Hilo.CL	2	1	1
M9	9-M9	wtNw	Hilo.CL	Hilo.CL	1	1	1
M147	88-M147	wtFw	Hilo.CL	Hilo.CL	1	2	1
M145	86-M145	wtFw	Hilo.CL	Hilo.CL	1	2	1
M144	85-M144	wtFw	Hilo.CL	Hilo.CL	1	2	1
M143	84-M143	wtFw	Hilo.CL	Hilo.CL	1	2	1
M142	83-M142	wtFw	Hilo.CL	Hilo.CL	1	2	1
M7	7-M7	wtNw	Hilo.CL	Hilo.CL	1	1	1
M136	77-M136	CwNw	Hilo.CL	Hilo.CL	2	1	1
M130	71-M130	CwNw	Hilo.CL	Hilo.CL	2	1	1
M8	8-M8	wtNw	Hilo.CL	Hilo.CL	1	1	1
M139	80-M139	CwNw	Hilo.CL	Hilo.CL	2	1	1
M13	11-M13	wtNw	Hilo.CL	Hilo.CL	1	1	1
M14	12-M14	wtNw	Hilo.CL	Hilo.CL	1	1	1
M135	76-M135	CwNw	Hilo.CL	Hilo.CL	2	1	1
M15	13-M15	wtNw	Hilo.CL	Hilo.CL	1	1	1
M138	79-M138	CwNw	Hilo.CL	Hilo.CL	2	1	1
M6	6-M6	wtNw	Hilo.CL	Hilo.CL	1	1	1
M1	1-M1	wtNw	Hilo.CL	Hilo.CL	1	1	1
M2	2-M2	wtNw	Hilo.CL	Hilo.CL	1	1	1
M4	4-M4	wtNw	Hilo.CL	Hilo.CL	1	1	1
M5	5-M5	wtNw	Hilo.CL	Hilo.CL	1	1	1
M148	89-M148	wtFw	Hilo.CL	Hilo.CL	1	2	1
M12	10-M12	wtNw	Hilo.CL	Hilo.CL	1	1	1
M134	75-M134	CwNw	Hilo.CL	Hilo.CL	2	1	1
M131	72-M131	CwNw	Hilo.CL	Hilo.CL	2	1	1
M328	SRR23972880	wtNw	Hilo.UH	Hilo.UH	1	1	1
M77	SRR23972597	CwNw	Hilo.UH	Hilo.UH	2	1	1
M317	SRR23972611	wtNw	Hilo.UH	Hilo.UH	1	1	1
M323	SRR23972604	wtNw	Hilo.UH	Hilo.UH	1	1	1
M75	SRR23972599	CwNw	Hilo.UH	Hilo.UH	2	1	1
M78	SRR23972596	CwNw	Hilo.UH	Hilo.UH	2	1	1
M79	SRR23972595	CwNw	Hilo.UH	Hilo.UH	2	1	1
M322	SRR23972605	wtNw	Hilo.UH	Hilo.UH	1	1	1
M314	SRR23972614	wtNw	Hilo.UH	Hilo.UH	1	1	1
M80	SRR23972594	CwNw	Hilo.UH	Hilo.UH	2	1	1
M81	SRR23972593	CwNw	Hilo.UH	Hilo.UH	2	1	1
M239	SRR23972725	SwNw	Hilo.UH	Hilo.UH	2	1	2
M82	SRR23972592	CwNw	Hilo.UH	Hilo.UH	2	1	1
M76	SRR23972598	CwNw	Hilo.UH	Hilo.UH	2	1	1
M315	SRR23972613	wtNw	Hilo.UH	Hilo.UH	1	1	1
M127	SRR23972745	wtNw	Hilo.UH	Hilo.UH	1	1	1
M84	SRR23972590	CwNw	Hilo.UH	Hilo.UH	2	1	1
M321	SRR23972606	wtNw	Hilo.UH	Hilo.UH	1	1	1
M320	SRR23972607	wtNw	Hilo.UH	Hilo.UH	1	1	1
M319	SRR23972609	wtNw	Hilo.UH	Hilo.UH	1	1	1
M128	SRR23972744	wtNw	Hilo.UH	Hilo.UH	1	1	1
M159	SRR23972724	SwNw	Hilo.UH	Hilo.UH	NA	1	2
M85	SRR23972588	CwNw	Hilo.UH	Hilo.UH	2	1	1
M316	SRR23972612	wtNw	Hilo.UH	Hilo.UH	1	1	1
M83	SRR23972591	CwNw	Hilo.UH	Hilo.UH	2	1	1
M86	SRR23972701	CwNw	Hilo.UH	Hilo.UH	2	1	1
M129	SRR23972704	wtNw	Hilo.UH	Hilo.UH	1	1	1
M318	SRR23972610	wtNw	Hilo.UH	Hilo.UH	1	1	1
M155	SRR23972729	wtNw	Hilo.UH	Hilo.UH	1	1	1
M154	SRR23972730	SwNw	Hilo.UH	Hilo.UH	NA	1	2
M64	41-M64	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M243	177-M243	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M240	174-M240	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M241	175-M241	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M65	42-M65	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M67	44-M67	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M63	40-M63	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M182	119-M182	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M70	46-M70	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M183	120-M183	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M184	121-M184	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M185	122-M185	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M61	38-M61	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M71	47-M71	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M186	123-M186	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M187	124-M187	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M74	50-M74	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M66	43-M66	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M189	125-M189	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M73	49-M73	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M62	39-M62	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M244	178-M244	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M72	48-M72	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M242	176-M242	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M60	37-M60	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M58	35-M58	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M69	45-M69	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M59	36-M59	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M177	114-M177	wtFw	Kauai.AS	Kauai.Wailua	1	2	1
M87	285-m87r	CwNw	Kauai.CG	Kauai.North	2	1	1
M222	156-M222	CwNw	Kauai.CG	Kauai.North	2	1	1
M174	111-M174	CwFw	Kauai.CG	Kauai.North	2	2	1
M162	103-M162	wtFw	Kauai.CG	Kauai.North	1	2	1
M236	170-M236	wtNw	Kauai.CG	Kauai.North	1	1	1
M157	98-M157	wtFw	Kauai.CG	Kauai.North	1	2	1
M50	31-M50	CwFw	Kauai.CG	Kauai.North	2	2	1
M91	288-m91r	CwNw	Kauai.CG	Kauai.North	2	1	1
M88	286-m88r	CwNw	Kauai.CG	Kauai.North	2	1	1
M158	99-M158	wtFw	Kauai.CG	Kauai.North	1	2	1
M237	171-M237	wtNw	Kauai.CG	Kauai.North	1	1	1
M221	155-M221	CwNw	Kauai.CG	Kauai.North	2	1	1
M90	287-m90r	CwNw	Kauai.CG	Kauai.North	2	1	1
M220	154-M220	CwNw	Kauai.CG	Kauai.North	2	1	1
M163	104-M163	wtFw	Kauai.CG	Kauai.North	1	2	1
M166	107-M166	wtFw	Kauai.CG	Kauai.North	1	2	1
M164	105-M164	wtFw	Kauai.CG	Kauai.North	1	2	1
M165	106-M165	wtFw	Kauai.CG	Kauai.North	1	2	1
M167	108-M167	wtFw	Kauai.CG	Kauai.North	1	2	1
M49	30-M49	CwFw	Kauai.CG	Kauai.North	2	2	1
M172	109-M172	CwFw	Kauai.CG	Kauai.North	2	2	1
