SID,PC1,PC2,chr
SRR4292182.bam,-0.112021,0.0437616,1
SRR4292183.bam,-0.108203,0.138826,1
SRR4292184.bam,-0.0993689,-0.13724,1
SRR4292185.bam,-0.111177,0.042816,1
SRR4292186.bam,0.236278,0.0319625,1
SRR4292187.bam,0.208462,0.0837852,1
SRR4292188.bam,-0.088789,0.217892,1
SRR4292189.bam,0.236374,-0.308803,1
SRR4292190.bam,-0.0882735,0.190434,1
SRR4292191.bam,0.159768,0.117736,1
SRR4292192.bam,-0.105649,-0.0425996,1
SRR4292193.bam,0.238042,0.0666861,1
SRR4292194.bam,-0.104695,-0.334573,1
SRR4292195.bam,0.232069,0.00248052,1
SRR4292196.bam,-0.098665,-0.379017,1
SRR4292197.bam,0.246504,0.0429467,1
SRR4292198.bam,0.217399,0.0301369,1
SRR4292199.bam,-0.107656,0.13809,1
SRR4292200.bam,-0.0984197,-0.0703016,1
SRR4292201.bam,-0.11059,0.0916257,1
SRR4292202.bam,-0.10571,0.0546376,1
SRR4292203.bam,-0.0987663,-0.146633,1
SRR4292204.bam,-0.111902,0.0901396,1
SRR4292205.bam,-0.10921,0.135394,1
SRR4292207.bam,-0.103549,0.117671,1
SRR4292208.bam,-0.100835,-0.296139,1
SRR4292209.bam,-0.10652,0.0875008,1
SRR4292210.bam,-0.105588,0.101755,1
SRR4292211.bam,-0.100839,-0.0743771,1
SRR4292212.bam,-0.109898,0.0971991,1
SRR4292213.bam,0.0852265,-0.0341108,1
SRR4292214.bam,0.223544,0.0686312,1
SRR4292215.bam,0.0904916,0.0959113,1
SRR4292216.bam,0.0840024,-0.247614,1
SRR4292217.bam,-0.0974116,-0.13011,1
SRR4292218.bam,0.226737,0.063735,1
SRR4292219.bam,0.226383,0.0393995,1
SRR4292220.bam,0.0863498,-0.0296783,1
SRR4292221.bam,0.208894,0.0376394,1
SRR4292222.bam,-0.0905813,0.214398,1
SRR4292223.bam,0.0847786,-0.252404,1
SRR4292224.bam,0.225651,0.0384683,1
SRR4292225.bam,-0.0890726,0.193901,1
SRR4292226.bam,-0.104017,0.006409,1
SRR4292227.bam,-0.101022,-0.0363107,1
SRR4292228.bam,-0.0968211,-0.141699,1
SRR4292229.bam,-0.106154,0.0523746,1
SRR4292230.bam,-0.102937,-0.0219727,1
SRR4292182.bam,-0.00255295,-0.223342,2
SRR4292183.bam,-0.0387436,-0.0864314,2
SRR4292184.bam,0.001781,-0.20506,2
SRR4292185.bam,-0.00243384,-0.22469,2
SRR4292186.bam,0.329431,0.168634,2
SRR4292187.bam,-0.108196,0.143577,2
SRR4292188.bam,-0.102215,0.0725394,2
SRR4292189.bam,0.294619,0.0346302,2
SRR4292190.bam,-0.141329,0.247749,2
SRR4292191.bam,-0.0982358,0.0113764,2
SRR4292192.bam,0.333676,0.173154,2
SRR4292193.bam,-0.146721,0.260813,2
SRR4292194.bam,-0.058373,-0.0195894,2
SRR4292195.bam,-0.116525,0.11757,2
SRR4292196.bam,0.295018,0.0342599,2
SRR4292197.bam,-0.162924,0.273423,2
SRR4292198.bam,-0.107424,0.0876472,2
SRR4292199.bam,-0.044255,-0.0778175,2
SRR4292200.bam,-0.0326109,-0.0836921,2
SRR4292201.bam,-0.00354964,-0.220622,2
SRR4292202.bam,-0.0763218,0.0276515,2
SRR4292203.bam,-0.0622531,-0.0185566,2
SRR4292204.bam,0.0408972,-0.112539,2
SRR4292205.bam,-0.0402648,-0.0906816,2
SRR4292207.bam,-0.0421448,-0.0823961,2
SRR4292208.bam,0.00360616,-0.203551,2
SRR4292209.bam,-0.00395981,-0.220664,2
SRR4292210.bam,-0.0626438,0.0206296,2
SRR4292211.bam,-0.0952578,0.112156,2
SRR4292212.bam,0.0411858,-0.10969,2
SRR4292213.bam,0.426552,0.199056,2
SRR4292214.bam,-0.114403,0.199908,2
SRR4292215.bam,-0.0814367,-0.0222269,2
SRR4292216.bam,0.293785,0.0360685,2
SRR4292217.bam,-0.0306169,-0.0864017,2
SRR4292218.bam,-0.111734,0.131217,2
SRR4292219.bam,-0.0395761,-0.0767456,2
SRR4292220.bam,0.0299303,0.0416555,2
SRR4292221.bam,-0.0921814,0.136911,2
SRR4292222.bam,-0.0703343,-0.0579229,2
SRR4292223.bam,0.296295,0.0387001,2
SRR4292224.bam,-0.144892,0.258101,2
SRR4292225.bam,-0.0700344,-0.0557763,2
SRR4292226.bam,-0.0034612,-0.221596,2
SRR4292227.bam,-0.0420438,-0.0843907,2
SRR4292228.bam,-0.0957679,0.112967,2
