Fst,Hawaii.CL,Hawaii.UH,Kauai.AS,Kauai.CG,Kauai.PK,Kauai.VL,Kauai.WC,Oahu.AC,Oahu.BYU,Oahu.CC,Oahu.KP
Hawaii.CL,0,0.024964,0.044038,0.041544,0.051693,0.053788,0.045125,0.073895,0.074442,0.074518,0.098185
Hawaii.UH,0.024964,0,0.048057,0.046675,0.0515,0.052256,0.04961,0.064401,0.0674,0.067398,0.089223
Kauai.AS,0.044038,0.048057,0,0.010048,0.021823,0.01441,0.014772,0.049158,0.043801,0.051602,0.063035
Kauai.CG,0.041544,0.046675,0.010048,0,0.027317,0.017229,0.013175,0.056419,0.054654,0.059553,0.069666
Kauai.PK,0.051693,0.0515,0.021823,0.027317,0,0.023138,0.026447,0.038371,0.037251,0.033975,0.051743
Kauai.VL,0.053788,0.052256,0.01441,0.017229,0.023138,0,0.02351,0.046854,0.043465,0.049029,0.060353
Kauai.WC,0.045125,0.04961,0.014772,0.013175,0.026447,0.02351,0,0.049972,0.050223,0.052076,0.065918
Oahu.AC,0.073895,0.064401,0.049158,0.056419,0.038371,0.046854,0.049972,0,0.040027,0.028549,0.053521
Oahu.BYU,0.074442,0.0674,0.043801,0.054654,0.037251,0.043465,0.050223,0.040027,0,0.03102,0.053549
Oahu.CC,0.074518,0.067398,0.051602,0.059553,0.033975,0.049029,0.052076,0.028549,0.03102,0,0.044679
Oahu.KP,0.098185,0.089223,0.063035,0.069666,0.051743,0.060353,0.065918,0.053521,0.053549,0.044679,0
