Results of differential gene expression analysis for cricket responses to larval infestation. Positional information for genes is given in 'Infestation_annotation' tab,,,,,,
baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
0.282827811,0.271948036,3.720034146,0.07310364,0.941723645,NA,TOC.1T.00007
92.64011924,0.210476804,0.210066226,1.001954512,0.316365563,0.657367265,TOC.1T.00006
10.1358393,-0.249334944,1.12336868,-0.221952907,0.824350544,0.944754353,TOC.1T.00005
0,NA,NA,NA,NA,NA,TOC.1T.00020
1.819027742,0.757177888,1.220684245,0.62028972,0.535067062,NA,TOC.1T.00010
233.3048029,-0.071752559,0.185004183,-0.3878429,0.698132296,0.895576586,TOC.1T.00009
361.7004351,0.328520595,0.160571236,2.045949224,0.040761367,0.223596158,TOC.1T.00029
80.54141202,0.317340054,0.197397298,1.607621065,0.107918196,0.396315595,TOC.1T.00035
22.66490529,-0.828233525,0.421372152,-1.965563035,0.049349108,0.251906475,TOC.1T.00034
0,NA,NA,NA,NA,NA,TOC.1T.00021
234.8821328,0.84589144,0.274401583,3.082676964,0.002051477,0.030552846,TOC.1T.00022
2956.492145,-0.065783432,0.196884719,-0.334121571,0.738287823,0.912942443,TOC.1T.00023
51.87320669,0.23578114,0.494906738,0.476415296,0.63377854,0.864156699,TOC.1T.00037
459.9745264,-0.042347733,0.107040535,-0.395623327,0.692382926,0.893815564,TOC.1T.00038
20.39691325,2.121501314,0.851320213,2.492013325,0.012702127,0.108617807,TOC.1T.00040
154.388855,0.165043288,0.196551134,0.839696445,0.401078608,0.726231888,TOC.1T.00039
587.9389619,-0.162314803,0.278182741,-0.583482648,0.559568435,0.825869168,TOC.1T.00041
6.042300721,-1.172610185,1.558064931,-0.752606751,0.45168626,0.76398803,TOC.1T.00046
1.130966059,-0.181057282,1.204945941,-0.150261747,0.880558112,NA,TOC.1T.00048
624.8166397,0.174613578,0.184620262,0.945798562,0.344251339,0.679485984,TOC.1T.00042
432.3499597,0.223618939,0.159463076,1.402324252,0.160818441,0.482022823,TOC.1T.00049
370.6613538,-0.084553406,0.267667477,-0.315889727,0.75208621,0.918407685,TOC.1T.00061
64.67936225,0.264207843,0.612665936,0.431242913,0.666291755,0.879720116,TOC.1T.00063
671.3825822,0.138862762,0.137192282,1.0121762,0.311453814,0.652847466,TOC.1T.00062
60.73591559,0.154488055,0.504126961,0.306446723,0.759264538,0.921712217,TOC.1T.00057
0.649845156,1.042431724,3.666107902,0.284342892,0.776147619,NA,TOC.1T.00065
1166.912834,-0.85777462,0.465537902,-1.842545188,0.065395443,0.298777104,TOC.1T.00064
272.6595113,0.288893476,0.192306324,1.502256762,0.13303081,0.440093532,TOC.1T.00066
157.8027934,0.169225574,0.132759789,1.274674926,0.202424325,0.53627603,TOC.1T.00070
0.164004906,-1.145005773,3.724945049,-0.307388635,0.758547578,NA,TOC.1T.00075
125.1192558,0.048765189,0.208861047,0.233481493,0.815387539,0.94171066,TOC.1T.00067
595.4202467,-0.683419784,0.151970257,-4.497062779,6.89E-06,0.000294393,TOC.1T.00076
70.0975297,-0.083408211,0.189317893,-0.440572253,0.659522694,0.876759084,TOC.1T.00077
231.2390156,-0.352791831,0.264735033,-1.332622382,0.182655756,0.51087301,TOC.1T.00078
509.4346954,-0.281792291,0.159135931,-1.77076471,0.076599837,0.325653545,TOC.1T.00080
809.2371654,0.234853428,0.160124735,1.466690506,0.142460267,0.455465131,TOC.1T.00079
210.8986448,0.317512148,0.302045249,1.051207223,0.293163426,0.636165333,TOC.1T.00083
563.6442513,-0.20776279,0.166171366,-1.25029237,0.211192765,0.545510229,TOC.1T.00081
