month,site,island,date,rain,season,proportion_wtNw_on_night,proportion_wtNw_per_site,trial,time,time_postsunset,trap,playback,flies_caught,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,1,18:20,5,t1,song,1,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,1,18:20,5,t2,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,1,18:20,5,t3,song,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,1,18:20,5,t4,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,1,18:20,5,t5,song,1,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,1,18:20,5,t6,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,1,18:20,5,t7,song,2,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,1,18:20,5,t8,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,2,18:38,23,t1,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,2,18:38,23,t2,song,1,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,2,18:38,23,t3,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,2,18:38,23,t4,song,2,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,2,18:38,23,t5,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,2,18:38,23,t6,song,10,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,2,18:38,23,t7,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,2,18:38,23,t8,song,5,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,3,18:59,44,t1,song,1,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,3,18:59,44,t2,control,1,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,3,18:59,44,t3,song,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,3,18:59,44,t4,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,3,18:59,44,t5,song,1,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,3,18:59,44,t6,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,3,18:59,44,t7,song,1,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,3,18:59,44,t8,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,4,19:15,60,t1,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,4,19:15,60,t2,song,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,4,19:15,60,t3,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,4,19:15,60,t4,song,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,4,19:15,60,t5,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,4,19:15,60,t6,song,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,4,19:15,60,t7,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,4,19:15,60,t8,song,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,5,19:36,81,t1,song,1,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,5,19:36,81,t2,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,5,19:36,81,t3,song,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,5,19:36,81,t4,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,5,19:36,81,t5,song,1,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,5,19:36,81,t6,control,0,
Jan,K.CG,Kauai,13/01/2022,dry,wet,0,0,5,19:36,81,t7,song,0,
