ID,pop,selection
94-M153,Oahu_Kamilo,0.146028879
87-M146,Hilo_Church_Lawn,0.085568585
82-M141,Kauai_Pono_Kai,0.00660423
81-M140,Kauai_Pono_Kai,0.00660423
92-M151,Kauai_Pono_Kai,0.00660423
78-M137,Hilo_Church_Lawn,0.085568585
73-M132,Hilo_Church_Lawn,0.085568585
70-M118,Oahu_BYU,0.333369534
97-M156,Oahu_Kamilo,0.146028879
62-M97,Oahu_BYU,0.333369534
41-M64,Kauai_Agricultural_Station,0.105791236
3-M3,Hilo_Church_Lawn,0.085568585
33-M55,Oahu_Community_Center,0.128912553
291-m104r,Oahu_Kamilo,0.146028879
285-m87r,Kauai_Common_Ground,0.431620031
283-m28r,Oahu_Astronomy_Center,0.071833375
277-m122r,Oahu_BYU,0.333369534
15-M18,Oahu_Astronomy_Center,0.071833375
156-M222,Kauai_Common_Ground,0.431620031
135-M201,Kauai_Vacant_Lot,0.10931323
143-M209,Oahu_Community_Center,0.128912553
93-M152,Oahu_Kamilo,0.146028879
206-M280,Kauai_Waioli_Church,0.354238382
208-M282,Kauai_Waioli_Church,0.354238382
129-M194,Kauai_Vacant_Lot,0.10931323
137-M203,Kauai_Vacant_Lot,0.10931323
177-M243,Kauai_Agricultural_Station,0.105791236
102-M161,Oahu_Community_Center,0.128912553
17-M22,Oahu_Astronomy_Center,0.071833375
111-M174,Kauai_Common_Ground,0.431620031
205-M278,Kauai_Waioli_Church,0.354238382
300-m119r,Oahu_BYU,0.333369534
103-M162,Kauai_Common_Ground,0.431620031
101-M160,Oahu_Community_Center,0.128912553
74-M133,Hilo_Church_Lawn,0.085568585
170-M236,Kauai_Common_Ground,0.431620031
174-M240,Kauai_Agricultural_Station,0.105791236
274-M358,Oahu_Astronomy_Center,0.071833375
167-M233,Oahu_Community_Center,0.128912553
175-M241,Kauai_Agricultural_Station,0.105791236
91-M150,Kauai_Pono_Kai,0.00660423
179-M245,Kauai_Vacant_Lot,0.10931323
289-m95r,Oahu_BYU,0.333369534
