chr,source,transcript,start,end,strand,gene
1,EVM,gene,1017098,1017308,+,TOC.1T.00001
1,EVM,gene,1017661,1017860,+,TOC.1T.00002
1,EVM,gene,1063213,1063363,-,TOC.1T.00003
1,EVM,gene,1606379,1606553,+,TOC.1T.00004
1,.,gene,1652928,1666375,-,TOC.1T.00005
1,EVM,gene,1813677,1816651,+,TOC.1T.00006
1,EVM,gene,1824981,1825442,+,TOC.1T.00007
1,EVM,gene,2119626,2119970,-,TOC.1T.00008
1,.,gene,2309736,2323765,+,TOC.1T.00009
1,.,gene,2379233,2390100,+,TOC.1T.00010
1,EVM,gene,2393774,2394112,-,TOC.1T.00011
1,EVM,gene,2394318,2394632,-,TOC.1T.00012
1,EVM,gene,2401492,2401818,-,TOC.1T.00013
1,EVM,gene,2413736,2414119,-,TOC.1T.00014
1,EVM,gene,2430725,2431318,-,TOC.1T.00015
1,EVM,gene,2432276,2432593,-,TOC.1T.00016
1,EVM,gene,2433514,2433837,-,TOC.1T.00017
1,.,gene,2520565,2523396,-,TOC.1T.00018
1,EVM,gene,2551497,2558193,+,TOC.1T.00019
1,EVM,gene,2576145,2584882,+,TOC.1T.00020
1,.,gene,2681264,2683255,+,TOC.1T.00021
1,.,gene,2779444,2825704,-,TOC.1T.00022
1,.,gene,2871019,2884770,+,TOC.1T.00023
1,EVM,gene,3164497,3164862,+,TOC.1T.00024
1,EVM,gene,3166955,3167752,+,TOC.1T.00025
1,EVM,gene,3644802,3645159,+,TOC.1T.00026
1,EVM,gene,3669209,3669589,+,TOC.1T.00027
1,EVM,gene,3679144,3679607,-,TOC.1T.00028
1,.,gene,3707204,3797902,+,TOC.1T.00029
1,.,gene,3939870,3952128,+,TOC.1T.00030
1,EVM,gene,4032747,4033061,+,TOC.1T.00031
1,EVM,gene,4116898,4117278,-,TOC.1T.00032
1,EVM,gene,4184811,4185248,-,TOC.1T.00033
1,.,gene,4491607,4621285,+,TOC.1T.00034
1,.,gene,4699640,4756310,+,TOC.1T.00035
1,EVM,gene,4781119,4902807,-,TOC.1T.00036
1,.,gene,4917890,4974629,+,TOC.1T.00037
1,.,gene,5000482,5023296,+,TOC.1T.00038
1,.,gene,5072099,5204519,-,TOC.1T.00039
1,.,gene,5207239,5269388,-,TOC.1T.00040
1,.,gene,5305638,5312353,+,TOC.1T.00041
1,.,gene,5343057,5478052,-,TOC.1T.00042
1,EVM,gene,5762124,6115919,-,TOC.1T.00043
1,EVM,gene,6826621,6827055,-,TOC.1T.00044
1,EVM,gene,8006983,8007324,+,TOC.1T.00045
1,.,gene,8341914,8343166,+,TOC.1T.00046
1,EVM,gene,8406836,8420556,+,TOC.1T.00047
1,EVM,gene,8423153,8423512,+,TOC.1T.00048
1,.,gene,8498246,8529318,-,TOC.1T.00049
1,EVM,gene,8739076,8739798,-,TOC.1T.00050
1,EVM,gene,9106759,9140073,+,TOC.1T.00051
1,EVM,gene,9169113,9169463,+,TOC.1T.00052
1,EVM,gene,9192058,9192864,+,TOC.1T.00053
1,EVM,gene,9193196,9193621,+,TOC.1T.00054
1,EVM,gene,9200298,9201111,-,TOC.1T.00055
1,EVM,gene,9214562,9215527,+,TOC.1T.00056
1,EVM,gene,9348582,9710545,-,TOC.1T.00057
1,.,gene,9957600,10136046,-,TOC.1T.00058
1,EVM,gene,10151021,10151176,-,TOC.1T.00059
1,EVM,gene,10341789,10342241,+,TOC.1T.00060
1,.,gene,10915722,10955654,-,TOC.1T.00061
1,.,gene,10970499,10971842,+,TOC.1T.00062
1,.,gene,10974025,10977764,+,TOC.1T.00063
1,.,gene,10978275,11007588,-,TOC.1T.00064
1,EVM,gene,11027689,11028126,-,TOC.1T.00065
1,.,gene,11029861,11078639,-,TOC.1T.00066
1,.,gene,11082175,11213497,+,TOC.1T.00067
1,EVM,gene,11259565,11259870,+,TOC.1T.00068
1,EVM,gene,11259899,11260252,+,TOC.1T.00069
1,EVM,gene,11278761,11286588,+,TOC.1T.00070
1,EVM,gene,11290663,11291232,+,TOC.1T.00071
1,EVM,gene,11291429,11291989,+,TOC.1T.00072
1,EVM,gene,11292357,11292689,+,TOC.1T.00073
1,EVM,gene,11294699,11294998,+,TOC.1T.00074
1,EVM,gene,11301747,11302418,+,TOC.1T.00075
1,.,gene,11320523,11325529,+,TOC.1T.00076
1,.,gene,11348916,11357220,+,TOC.1T.00077
1,.,gene,11358614,11421676,-,TOC.1T.00078
1,.,gene,11441898,11567900,+,TOC.1T.00079
1,.,gene,11594008,11613409,+,TOC.1T.00080
1,.,gene,11618161,11743769,-,TOC.1T.00081
1,EVM,gene,11744181,11745023,+,TOC.1T.00082
1,EVM,gene,11748223,11774510,+,TOC.1T.00083
1,.,gene,11777470,11782533,-,TOC.1T.00084
1,.,gene,11793817,11835483,-,TOC.1T.00085
1,.,gene,11836537,11886277,+,TOC.1T.00086
1,.,gene,11916305,11943562,-,TOC.1T.00087
1,EVM,gene,11950750,11950931,-,TOC.1T.00088
1,EVM,gene,13522688,13532540,+,TOC.1T.00089
1,.,gene,13564435,13706306,+,TOC.1T.00090
1,.,gene,13706616,13788039,-,TOC.1T.00091
1,EVM,gene,14574786,14575148,+,TOC.1T.00092
1,EVM,gene,14749748,14749980,+,TOC.1T.00093
1,.,gene,15218836,15315691,+,TOC.1T.00094
1,EVM,gene,15338677,15340887,+,TOC.1T.00095
1,.,gene,15341237,15348031,+,TOC.1T.00096
1,.,gene,15476081,15494732,+,TOC.1T.00097
1,.,gene,15550587,15617738,-,TOC.1T.00098
1,EVM,gene,15697697,15717036,-,TOC.1T.00099
1,EVM,gene,15881615,15881929,+,TOC.1T.00100
1,EVM,gene,15958586,15958963,-,TOC.1T.00101
1,EVM,gene,15959153,16221578,-,TOC.1T.00102
1,EVM,gene,16543006,16543308,+,TOC.1T.00103
1,EVM,gene,17076794,17077280,-,TOC.1T.00104
1,.,gene,17275841,17284999,+,TOC.1T.00105
1,.,gene,17302432,17310676,-,TOC.1T.00106
1,.,gene,17325185,17349069,-,TOC.1T.00107
1,EVM,gene,17422049,17472448,+,TOC.1T.00108
1,.,gene,17511803,17613313,+,TOC.1T.00109
1,.,gene,17639225,17640495,+,TOC.1T.00110
1,.,gene,17640827,17801832,-,TOC.1T.00111
1,.,gene,17842831,17876696,+,TOC.1T.00112
1,.,gene,17910798,17937902,+,TOC.1T.00113
1,.,gene,17956689,17970618,+,TOC.1T.00114
1,.,gene,18006657,18139242,+,TOC.1T.00115
1,.,gene,18152487,18164121,+,TOC.1T.00116
1,.,gene,18168415,18173093,-,TOC.1T.00117
1,EVM,gene,18200128,18300558,+,TOC.1T.00118
1,EVM,gene,18301076,18301423,+,TOC.1T.00119
1,.,gene,18313367,18321272,-,TOC.1T.00120
1,.,gene,18343483,18411864,+,TOC.1T.00121
1,.,gene,18429517,18468495,+,TOC.1T.00122
1,.,gene,18488478,18535275,-,TOC.1T.00123
1,EVM,gene,18571365,18659890,+,TOC.1T.00124
1,EVM,gene,18663913,18664359,+,TOC.1T.00125
1,EVM,gene,18690962,18736985,+,TOC.1T.00126
1,EVM,gene,18742096,18775620,+,TOC.1T.00127
1,EVM,gene,18776101,18776499,+,TOC.1T.00128
1,.,gene,18854943,18928317,+,TOC.1T.00129
1,.,gene,18977687,18986631,-,TOC.1T.00130
1,.,gene,19020297,19107580,+,TOC.1T.00131
1,EVM,gene,19178443,19184480,-,TOC.1T.00132
1,EVM,gene,19267293,19360923,+,TOC.1T.00133
1,.,gene,19409032,19644541,+,TOC.1T.00134
1,EVM,gene,20138236,20142466,-,TOC.1T.00135
1,.,gene,20295879,20409219,+,TOC.1T.00136
1,.,gene,20461542,20465491,-,TOC.1T.00137
1,EVM,gene,20502510,20503484,-,TOC.1T.00138
1,EVM,gene,20550516,20551928,-,TOC.1T.00139
1,.,gene,20947750,20961834,+,TOC.1T.00140
1,EVM,gene,20980772,20981085,-,TOC.1T.00141
1,EVM,gene,20993502,20993864,-,TOC.1T.00142
1,EVM,gene,21000035,21008871,-,TOC.1T.00143
1,.,gene,21019250,21026088,+,TOC.1T.00144
1,EVM,gene,21273941,21275452,+,TOC.1T.00145
1,EVM,gene,21474030,21474353,-,TOC.1T.00146
1,.,gene,21662714,21726458,-,TOC.1T.00147
1,.,gene,21727122,21730833,+,TOC.1T.00148
1,EVM,gene,21740935,21741246,-,TOC.1T.00149
1,EVM,gene,21741774,21742139,-,TOC.1T.00150
1,EVM,gene,21742345,21742830,-,TOC.1T.00151
1,.,gene,21743576,21771970,-,TOC.1T.00152
1,.,gene,21784707,21799181,-,TOC.1T.00153
1,.,gene,21816628,21844243,-,TOC.1T.00154
1,.,gene,21844558,21868632,+,TOC.1T.00155
1,EVM,gene,21871266,21873655,+,TOC.1T.00156
1,.,gene,21875569,21901865,-,TOC.1T.00157
1,EVM,gene,22135717,22137006,-,TOC.1T.00158
1,EVM,gene,22137082,22137564,-,TOC.1T.00159
1,EVM,gene,23774427,23774783,-,TOC.1T.00160
1,EVM,gene,23778520,23882088,-,TOC.1T.00161
1,.,gene,23990080,24111596,+,TOC.1T.00162
1,.,gene,24120737,24123833,-,TOC.1T.00163
1,.,gene,24128836,24343707,-,TOC.1T.00164
1,.,gene,24368250,24382893,-,TOC.1T.00165
1,.,gene,24406912,24444102,-,TOC.1T.00166
1,.,gene,24447067,24516829,-,TOC.1T.00167
1,.,gene,24546692,24630368,-,TOC.1T.00168
1,.,gene,24630795,24665711,-,TOC.1T.00169
1,.,gene,24680787,24708602,-,TOC.1T.00170
1,.,gene,24724298,24766562,-,TOC.1T.00171
1,.,gene,24768002,24777522,+,TOC.1T.00172
1,.,gene,24977262,24979415,+,TOC.1T.00173
1,.,gene,24984848,24991366,+,TOC.1T.00174
1,.,gene,25012797,25094697,+,TOC.1T.00175
1,EVM,gene,25099534,25099899,+,TOC.1T.00176
1,EVM,gene,25142071,25149767,+,TOC.1T.00177
1,EVM,gene,25163857,25164006,+,TOC.1T.00178
1,EVM,gene,25217711,25218232,-,TOC.1T.00179
1,EVM,gene,25224062,25224618,-,TOC.1T.00180
1,.,gene,26304523,26315851,+,TOC.1T.00181
1,EVM,gene,26373522,26381369,-,TOC.1T.00182
1,.,gene,26406140,26544204,+,TOC.1T.00183
1,EVM,gene,26750486,27435942,+,TOC.1T.00184
1,EVM,gene,27490141,27490590,+,TOC.1T.00185
1,EVM,gene,27490884,27491534,+,TOC.1T.00186
1,EVM,gene,27747214,27747702,-,TOC.1T.00187
1,EVM,gene,27752206,27753057,+,TOC.1T.00188
1,.,gene,28772636,28895626,+,TOC.1T.00189
1,EVM,gene,28976414,28976746,-,TOC.1T.00190
1,EVM,gene,29005432,29006070,+,TOC.1T.00191
1,EVM,gene,29006113,29007327,+,TOC.1T.00192
1,EVM,gene,29007428,29009014,+,TOC.1T.00193
1,.,gene,29069446,29135311,-,TOC.1T.00194
1,.,gene,29180898,29201749,-,TOC.1T.00195
1,EVM,gene,30126437,30127055,-,TOC.1T.00196
1,EVM,gene,30991996,30992553,-,TOC.1T.00197
1,EVM,gene,30999976,31000704,-,TOC.1T.00198
1,EVM,gene,31290490,31291911,+,TOC.1T.00199
1,EVM,gene,31764827,31766011,-,TOC.1T.00200
1,EVM,gene,31841312,31841930,-,TOC.1T.00201
1,EVM,gene,32095307,32095659,+,TOC.1T.00202
1,EVM,gene,32194589,32194866,+,TOC.1T.00203
1,EVM,gene,32199022,32199260,-,TOC.1T.00204
1,EVM,gene,32353553,32354128,-,TOC.1T.00205
1,EVM,gene,32758786,32759164,+,TOC.1T.00206
1,.,gene,32871048,33111393,+,TOC.1T.00207
1,EVM,gene,32885818,32886234,+,TOC.1T.00208
1,EVM,gene,32886969,32887388,+,TOC.1T.00209
1,EVM,gene,33110487,33110864,+,TOC.1T.00210
1,EVM,gene,33833353,33833812,-,TOC.1T.00211
1,EVM,gene,33915269,33915619,+,TOC.1T.00212
1,EVM,gene,34329424,34329906,-,TOC.1T.00213
1,.,gene,35278863,35428593,+,TOC.1T.00214
1,.,gene,35448030,35468847,-,TOC.1T.00215
1,.,gene,35517121,35658755,+,TOC.1T.00216
1,EVM,gene,35675595,35835960,-,TOC.1T.00217
1,EVM,gene,35841587,35877316,-,TOC.1T.00218
1,EVM,gene,35902933,35903585,+,TOC.1T.00219
1,.,gene,35906360,35919816,+,TOC.1T.00220
1,EVM,gene,35969910,35997943,+,TOC.1T.00221
1,EVM,gene,35997988,36013332,+,TOC.1T.00222
1,EVM,gene,36067470,36379275,+,TOC.1T.00223
1,.,gene,36413053,36522104,+,TOC.1T.00224
1,.,gene,36537458,36581460,+,TOC.1T.00225
1,.,gene,36618889,36626611,+,TOC.1T.00226
1,EVM,gene,36628756,36629223,+,TOC.1T.00227
1,.,gene,36659048,36686387,+,TOC.1T.00228
1,EVM,gene,36703027,36704001,+,TOC.1T.00229
1,.,gene,37094384,37094852,+,TOC.1T.00230
1,EVM,gene,37436972,37492062,+,TOC.1T.00231
1,EVM,gene,37582893,37583285,-,TOC.1T.00232
1,EVM,gene,37763855,37764181,-,TOC.1T.00233
1,.,gene,37941489,37943429,+,TOC.1T.00234
1,EVM,gene,37955353,37955531,+,TOC.1T.00235
1,EVM,gene,37955754,37955933,+,TOC.1T.00236
1,.,gene,38128939,38192615,+,TOC.1T.00237
1,EVM,gene,38193551,38202284,+,TOC.1T.00238
1,EVM,gene,38206942,38207256,+,TOC.1T.00239
1,.,gene,38210527,38277839,+,TOC.1T.00240
1,EVM,gene,38321769,38335788,+,TOC.1T.00241
1,EVM,gene,38338240,38338545,+,TOC.1T.00242
1,.,gene,38349705,38475390,-,TOC.1T.00243
